出發機場,航空公司,航點,機型,簡化機型
TPE,中華航空,香港,B737-800,B737
TPE,中華航空,香港,A321neo,A321
TPE,中華航空,香港,A330-300,A330
TPE,中華航空,首爾,A330-300,A330
TPE,中華航空,釜山,A321neo,A321
TPE,中華航空,釜山,B737-800,B737
TPE,中華航空,胡志明市,A350-900,A350
TPE,中華航空,胡志明市,B777-300ER,B777
TPE,中華航空,河內,B737-800,B737
TPE,中華航空,河內,A321neo,A321
TPE,中華航空,河內,A330-300,A330
TPE,中華航空,峴港,A321neo,A321
TPE,中華航空,金邊,B737-800,B737
TPE,中華航空,曼谷,A321neo,A321
TPE,中華航空,曼谷,A330-300,A330
TPE,中華航空,曼谷,A350-900,A350
TPE,中華航空,清邁,A321neo,A321
TPE,中華航空,吉隆坡,B777-300ER,B777
TPE,中華航空,檳城,A321neo,A321
TPE,中華航空,新加坡,A330-300,A330
TPE,中華航空,新加坡,A350-900,A350
TPE,中華航空,新加坡,A321neo,A321
TPE,中華航空,雅加達,A321neo,A321
TPE,中華航空,雅加達,A330-300,A330
TPE,中華航空,雅加達,A350-900,A350
TPE,中華航空,峇里島,A330-300,A330
TPE,中華航空,馬尼拉,A321neo,A321
TPE,中華航空,馬尼拉,A330-300,A330
TPE,中華航空,宿霧,A321neo,A321
TPE,中華航空,仰光,B737-800,B737
TPE,中華航空,帛琉,A321neo,A321
TPE,中華航空,阿姆斯特丹,A350-900,A350
TPE,中華航空,羅馬,A350-900,A350
TPE,中華航空,維也納,A350-900,A350
TPE,中華航空,法蘭克福,A350-900,A350
TPE,中華航空,倫敦,A350-900,A350
TPE,中華航空,布拉格,A350-900,A350
TPE,星宇航空,澳門,A321neo,A321
TPE,星宇航空,澳門,A330-900neo,A330
TPE,星宇航空,香港,A350-900,A350
TPE,星宇航空,香港,A330-900neo,A330
TPE,星宇航空,東京,A350-900,A350
TPE,星宇航空,東京,A350-1000,A350
TPE,星宇航空,東京,A330-900neo,A330
TPE,星宇航空,大阪,A330-900neo,A330
TPE,星宇航空,大阪,A350-900,A350
TPE,星宇航空,福岡,A330-900neo,A330
TPE,星宇航空,沖繩,A321neo,A321
TPE,星宇航空,札幌,A330-900neo,A330
TPE,星宇航空,仙台,A330-900neo,A330
TPE,星宇航空,熊本,A330-900neo,A330
TPE,星宇航空,名古屋,A321neo,A321
TPE,星宇航空,函館,A321neo,A321
